"market","dc","state","zip","congestionzone","weatherzone","load_profile","rate_code","map_value"
ERCOT,TNP,NORTH,"76433",hi,spring,sasa,,DC+ZIP
ERCOT,ONC,,"76435",WEST,,,,DC+ZIP+CZ
ERCOT,TNP,,"76436",,,,,DC+ZIP
ERCOT,ONC,,"76437",,,,,DC+ZIP
ERCOT,,,"76439",,,,,ZIP
ERCOT,ONC,,"76442",NORTH,,,,DC+ZIP+CZ
ERCOT,TNP,,"76442",,,,,DC+ZIP
ERCOT,CPL,,"76443",WEST,,,,DC+ZIP+CZ
ERCOT,WTU,,"76443",,,,,DC+ZIP
ERCOT,ONC,,"76444",NORTH,,,,DC+ZIP+CZ
ERCOT,ONC,,"76445",NORTH,,,,DC+ZIP+CZ
ERCOT,ONC,,"76446",NORTH,,,,DC+ZIP+CZ
ERCOT,ONC,,"76448",WEST,,,,DC+ZIP+CZ
ERCOT,ONC,,"76449",NORTH,,,,DC+ZIP+CZ
ERCOT,ONC,,"76450",WEST,,,,DC+ZIP+CZ
ERCOT,TNP,,"76450",,,,,DC+ZIP
ERCOT,,,"76452",,,,,ZIP
ERCOT,ONC,,"76453",,,,,DC+ZIP
ERCOT,TNP,,"76453",,,,,DC+ZIP
ERCOT,ONC,,"76454",WEST,,,,DC+ZIP+CZ
ERCOT,TNP,,"76455",,,,,DC+ZIP
ERCOT,TNP,,"76457",,,,,DC+ZIP
ERCOT,ONC,,"76458",NORTH,,,,DC+ZIP+CZ
ERCOT,TNP,,"76458",,,,,DC+ZIP
ERCOT,TNP,,"76459",,,,,DC+ZIP
ERCOT,ONC,,"76460",,,,,DC+ZIP
ERCOT,TNP,,"76460",,,,,DC+ZIP
ERCOT,,,"76461",,,,,ZIP
ERCOT,ONC,,"76462",WEST,,,,DC+ZIP+CZ
ERCOT,TNP,,"76463",,,,,DC+ZIP
ERCOT,CPL,,"76464",WEST,,,,DC+ZIP+CZ
ERCOT,WTU,,"76464",,,,,DC+ZIP
ERCOT,,,"76465",,,,,ZIP
ERCOT,ONC,,"76466",WEST,,,,DC+ZIP+CZ
ERCOT,,,"76467",,,,,ZIP
ERCOT,,,"76468",,,,,ZIP
ERCOT,CPL,,"76469",WEST,,,,DC+ZIP+CZ
ERCOT,WTU,,"76469",,,,,DC+ZIP
ERCOT,ONC,,"76470",WEST,,,,DC+ZIP+CZ
ERCOT,CPL,,"76471",WEST,,,,DC+ZIP+CZ
ERCOT,WTU,,"76471",,,,,DC+ZIP
ERCOT,ONC,,"76472",,,,,DC+ZIP
ERCOT,TNP,,"76472",,,,,DC+ZIP
ERCOT,,,"76474",,,,,ZIP
ERCOT,ONC,,"76475",,,,,DC+ZIP
ERCOT,TNP,,"76475",,,,,DC+ZIP
ERCOT,TNP,,"76476",,,,,DC+ZIP
ERCOT,ONC,,"76481",,,,,DC+ZIP
ERCOT,TNP,,"76481",,,,,DC+ZIP
ERCOT,CPL,,"76483",WEST,,,,DC+ZIP+CZ
ERCOT,WTU,,"76483",,,,,DC+ZIP
ERCOT,ONC,,"76484",,,,,DC+ZIP
ERCOT,,,"76485",,,,,ZIP
ERCOT,ONC,,"76486",WEST,,,,DC+ZIP+CZ
ERCOT,ONC,,"76487",NORTH,,,,DC+ZIP+CZ
ERCOT,ONC,,"76490",,,,,DC+ZIP
ERCOT,WTU,,"76491",NORTH,,,,DC+ZIP+CZ
