"market","dc","old_voltage","new_voltage"
PJM,CEI,"240 VOLT DELTA",V1
PJM,TE,"240/480V SINGLE PHASE (DOT)",V1
PJM,PP,"23000 VOLT DELTA",V3
PJM,OE,"120/240 VOLT DELTA 3 PHA",V1
NYISO,NYOR,L,Secondary
NYISO,CONE,H,Secondary
NYISO,CONE,L,Secondary
NYISO,CONE,SEC,Secondary
PJM,AECO,SEC,Secondary
PJM,BGE,SEC,Secondary
PJM,JCPL,SEC,SECONDARY
PJM,PPL,SEC,Secondary
PJM,PSEG,SEC,Secondary
PJM,PECO,Prim,Primary
PJM,JCPL,Secondary,SECONDARY
PJM,OE,"22860Y/13200 VOLT 3 PHAS",V2
PJM,CEI,"13200Y/7620 VOLT 3 PHASE",V2
PJM,OPC,"240",Secondary
PJM,OE,"34500 DELTA VOLT 3 PHASE",V3
PJM,OE,"SECONDARY, VOLTAGE UNKNOWN",V1
PJM,OE,"120/240 VOLT SINGLE PHASE",V1
PJM,OE,"240/480V SINGLE PHASE (DOT)",V1
PJM,CEI,"SECONDARY, VOLTAGE UNKNOWN",V1
PJM,TE,"SECONDARY, VOLTAGE UNKNOWN",V1
PJM,CEI,"34500 VOLT UNI-GRD Y",V3
PJM,OE,"120/208Y SINGLE PHASE(NETWRK)",V1
PJM,PP,"120/240 VOLT DELTA 3 PHASE",V1
PJM,CEI,"13200 VOLT DELTA",V2
PJM,TE,"PRIMARY, VOLTAGE UNKNOWN",V2
PJM,OE,"240/480V SINGLE PHASE (D",V1
PJM,CEI,"120/208Y SINGLE PHASE(NE",V1
PJM,CEI,"480Y/277 VOLT 3 PHASE",V1
PJM,PP,"12470Y/7200 VOLT 3 PHASE",V2
ERCOT,CNP,Distribution,Secondary
ERCOT,CPL,Distribution,Secondary
ERCOT,ONC,Distribution,Secondary
ERCOT,TNP,Distribution,Secondary
ERCOT,WTU,Distribution,Secondary
PJM,TE,"480Y/277 VOLT 3 PHASE",V1
PJM,PP,SERVICE VOLTAGE UNKNOWN,V1
PJM,PP,"120/240 VOLT SINGLE PHASE",V1
PJM,PP,"SECONDARY, VOLTAGE UNKNOWN",V1
PJM,PP,"120/208Y SINGLE PHASE(NETWRK)",V1
PJM,CGE,Secondary,Distribution
PJM,COMED,SEC,Secondary
PJM,COMED,sec,Secondary
PJM,OPC,"120",Secondary
PJM,OPC,"208",Secondary
PJM,OPC,"480",Secondary
PJM,OPC,"7200",Secondary
PJM,CSPC,"120",Secondary
PJM,CSPC,"240",Secondary
PJM,CSPC,"208",Secondary
PJM,CSPC,"480",Secondary
PJM,CSPC,"7200",Secondary
PJM,OE,"7200 VOLT 3 PHASE",V2
PJM,OE,"22860Y/13200 VOLT 3 PHASE",V2
PJM,OE,"120/240 VOLT DELTA 3 PHASE",V1
PJM,OE,SERVICE VOLTAGE UNKNOWN,V1
ERCOT,ONC,sec,Secondary
PJM,TE,"138 kV",V5
PJM,TE,"69 kV",V4
PJM,TE,"23 kV to 69 kV",V3
PJM,TE,"2.4 kV to 23kV",V2
PJM,TE,"2.4 kV",V1
PJM,OE,"138 kV",V5
PJM,OE,"69 kV",V4
PJM,OE,"23 kV to 69 kV",V3
PJM,OE,"2.4 kV to 23kV",V2
PJM,OE,"2.4 kV",V1
PJM,CEI,"138 kV",V5
PJM,CEI,"69 kV",V4
PJM,CEI,"23 kV to 69 kV",V3
PJM,CEI,"2.4 kV to 23kV",V2
PJM,CEI,"2.4 kV",V1
PJM,PP,"480Y/277 VOLT 3 PHASE",V1
PJM,PP,"240/480V SINGLE PHASE (D",V1
PJM,PP,"120/240 VOLT DELTA 3 PHA",V1
PJM,TE,"22860Y/13200 VOLT 3 PHAS",V2
NYISO,CHGE,L,Secondary
NYISO,RGE,L,Secondary
NYISO,NIMO,L,Secondary
NYISO,NYSEG,L,Secondary
PJM,CEI,"34500 VOLT UNI-GRD",V3
PJM,PENELEC,"34500Y/19900 VOLT 3 PHASE","34500Y/19900 VOLT 3 PHAS"
PJM,PP,"4160Y/2400 VOLT 3 PHASE",V2
PJM,CEI,"34500Y/19900 VOLT 3 PHASE",V3
PJM,PP,"240/480V SINGLE PHASE (DOT)",V1
PJM,PP,"240/480 VOLT DELTA 3 PHASE",V1
PJM,COMED,Sec,Secondary
PJM,DQE,Sec,Secondary
PJM,OE,"TRANSMISSION, VOLTAGE UNKNOWN",V5
PJM,OE,"PRIMARY, VOLTAGE UNKNOWN",V2
PJM,OE,"23000 VOLT DELTA",V3
PJM,CEI,"480 VOLT DELTA",V1
PJM,CEI,SERVICE VOLTAGE UNKNOWN,V1
PJM,OE,"120 VOLT SINGLE PHASE",V1
PJM,PP,"69000 DELTA VOLT 3 PHASE",V4
PJM,TE,"138000 VOLT DELTA",V5
PJM,CEI,"138000 VOLT 3 PHASE",V5
PJM,OE,"34500Y/19900 VOLT 3 PHAS",V3
PJM,PP,Secondary,V1
PJM,PP,"138000 VOLT 3 PHASE",V5
PJM,TE,"138000 VOLT 3 PHASE",V5
PJM,CEI,"120/208Y SINGLE PHASE(NETWRK)",V1
PJM,CEI,"120/240 VOLT SINGLE PHASE",V1
PJM,CEI,"240/480 VOLT DELTA 3 PHASE",V1
PJM,CEI,"240/480V SINGLE PHASE (DOT)",V1
PJM,PSEG,Sec,Secondary
PJM,OE,"240/480 VOLT DELTA 3 PHASE",V1
PJM,CEI,"4340 VOLT DELTA",V2
PJM,CEI,"34500 DELTA VOLT 3 PHASE",V3
PJM,CEI,"345000 VOLT 3 PHASE",V5
PJM,CEI,"115000 VOLT 3 PHASE",V4
PJM,CEI,"138000 VOLT DELTA",V5
PJM,CEI,"22860Y/13200 VOLT 3 PHASE",V2
PJM,CEI,"SUBTRANSMISSION, VOLT UNKNOWN",V1
PJM,PP,"TRANSMISSION, VOLTAGE UNKNOWN",V5
PJM,PP,"4800 VOLT DELTA 3 PHASE",V2
PJM,CEI,"4160Y/2400 VOLT 3 PHASE",V1
PJM,CEI,Secondary,V1
PJM,OE,Secondary,V1
PJM,APPA,PRI,Primary
PJM,APPA,SEC,Secondary
PJM,APPA,SUB,Subtransmission
PJM,APPA,SUB1,Subtransmission1
PJM,APPA,TRAN,Transmission
PJM,CEI,"120/240 VOLT SINGLE PHAS",V1
PJM,CEI,"208Y/120 VOLT 3 PHASE",V1
PJM,CEI,"240/480 VOLT DELTA 3 PHA",V1
PJM,CEI,"34500Y/19900 VOLT 3 PHAS",V2
PJM,CEI,"SECONDARY, VOLTAGE UNKNO",V1
PJM,OE,"120/240 VOLT SINGLE PHAS",V1
PJM,OE,"4160Y/2400 VOLT 3 PHASE",V1
PJM,OE,"69000 DELTA VOLT 3 PHASE",V4
PJM,OE,"SECONDARY, VOLTAGE UNKNO",V1
PJM,OE,"480Y/277 VOLT 3 PHASE",V1
PJM,PP,"SECONDARY, VOLTAGE UNKNO",V1
PJM,PP,"120/240 VOLT SINGLE PHAS",V1
PJM,PP,"208Y/120 VOLT 3 PHASE",V1
PJM,TE,"SECONDARY, VOLTAGE UNKNO",V1
PJM,TE,"120/240 VOLT SINGLE PHAS",V1
PJM,TE,"208Y/120 VOLT 3 PHASE",V1
PJM,TE,"120/208Y SINGLE PHASE(NE",V1
PJM,OE,"120/208Y SINGLE PHASE(NE",V1
PJM,OE,"12470Y/7200 VOLT 3 PHASE",V2
PJM,CEI,"240/480V SINGLE PHASE (D",V1
PJM,OE,"208Y/120 VOLT 3 PHASE",V1
PJM,CEI,"22860Y/13200 VOLT 3 PHAS",V2
PJM,PP,"120/208Y SINGLE PHASE(NE",V1
PJM,TE,"12470Y/7200 VOLT 3 PHASE",V1
PJM,TE,Secondary,V1
PJM,OE,"138000 VOLT 3 PHASE",V5
PJM,TE,"40250Y/69000 VOLT",V4
PJM,CEI,"PRIMARY, VOLTAGE UNKNOWN",V1
PJM,PP,"120 VOLT SINGLE PHASE",V1
PJM,OE,"138000 VOLT DELTA",V5
PJM,TE,"120/208Y SINGLE PHASE(NETWRK)",V1
PJM,TE,"120/240 VOLT SINGLE PHASE",V1
PJM,TE,"120 VOLT SINGLE PHASE",V1
PJM,TE,"240/480 VOLT DELTA 3 PHASE",V1
PJM,CEI,"120/240 VOLT DELTA 3 PHASE",V1
PJM,OE,"34500Y/19900 VOLT 3 PHASE",V3
PJM,CEI,"120 VOLT SINGLE PHASE",V1
PJM,TE,Primary,V2
PJM,TE,Transmission,V4
PJM,OE,Primary,V2
PJM,OE,Transmission,V4
PJM,CEI,Transmission,V4
PJM,PP,Primary,V2
NYISO,NIMO,Sub-Transmission,Subtransmission
NYISO,NYSEG,Sub-Transmission,Subtransmission
PJM,CEI,Primary,V2
PJM,CEI,Sub-Transmission,V3
PJM,PP,Transmission,V3
MISO,AMIL,PRIMARY,Primary
MISO,AMIL,SECONDARY,Secondary
MISO,AMIL,TRANSMISSION,Transmission
ERCOT,LPL,A,"23 kV Primary"
ERCOT,LPL,B,"23 kV Secondary"
ERCOT,LPL,T,Transmission
PJM,PEPCODC,Subtransmission,Sub-Transmission
PJM,DPL,Subtransmission,Sub-Transmission
PJM,APPA,Subtransmission,Sub-Transmission
PJM,TE,Subtransmission,Sub-Transmission
PJM,APMD,Subtransmission,Sub-Transmission
PJM,CEI,Subtransmission,Sub-Transmission
PJM,PSEG,Subtransmission,Sub-Transmission
PJM,PEPCOMD,Subtransmission,Sub-Transmission
PJM,DQE,Subtransmission,Sub-Transmission
PJM,BGE,Subtransmission,Sub-Transmission
NYISO,NIMO,TRA,Transmission
PJM,CEI,TRA,Transmission
PJM,TE,TRA,Transmission
PJM,DQE,TRA,Transmission
PJM,AECO,TRA,Transmission
PJM,JCPL,TRA,Transmission
PJM,PECO,TRA,Transmission
NYISO,NYOR,TRA,Transmission
PJM,PPL,TRA,Transmission
PJM,PP,TRA,Transmission
PJM,COMED,TRA,Transmission
PJM,PENELEC,TRA,Transmission
NYISO,CHGE,TRA,Transmission
PJM,CGE,TRA,Transmission
PJM,OPC,TRA,Transmission
PJM,PSEG,TRA,Transmission
